date,pred2day,pred3day,pred1day,Olveda,Arz̼a,Melide,Serra do Faro
2010-07-08,0.023142862,0.0,0.36571426,0.0,3.3,23.8,4.4
2010-07-09,0.0,0.0,0.0091571429,0.0,0.0,0.2,0.0
2010-07-10,0.086068571,0.070528571,4.5714285e-05,0.0,0.2,0.0,0.0
2010-07-11,0.16255714,1.5252857,0.0040142858,0.0,0.0,0.0,0.0
2010-07-12,1.0065714,1.7085714,1.0155714,0.0,1.0,0.2,0.0
2010-07-13,2.4298286,1.95,1.4870286,0.0,0.5,1.6,0.7
2010-07-14,0.53957146,5.4528571,3.4404285,0.0,2.4,2.2,0.9
2010-07-15,7.8567143,0.0,0.37242857,0.0,0.0,0.0,0.0
2010-07-16,0.0021428619,0.0,3.2005714,0.0,3.0,4.2,1.2
2010-07-17,0.0,0.00014285715,0.00037142858,0.0,0.2,0.0,0.0
2010-07-18,7.4285721e-05,2.0197286,0.00019714286,0.0,0.0,0.0,0.0
2010-07-19,0.55017143,1.6946429,0.0009,0.0,0.0,0.0,0.0
2010-07-20,0.70025715,0.092000002,1.4143143,0.0,0.2,0.0,0.0
2010-07-21,0.082285714,0.0035714292,0.16228571,0.0,0.0,0.0,0.0
2010-07-22,0.0,0.0,0.023157143,0.0,0.0,0.0,0.0
2010-07-23,0.00028571428,0.0,0.0013714286,0.0,0.0,0.0,0.0
2010-07-24,0.0,0.0,0.00012857143,0.0,0.0,0.0,0.0
2010-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-29,0.0,0.0021428571,1,0.0,0.0,0.0,0.0
2010-07-30,0.0042428571,0.0028285712,0.0010714286,0.0,0.0,0.0,0.0
2010-07-31,0.020242857,0.0032857139,0.009757143,0.0,0.0,0.0,0.0
2010-08-01,0.025428571,0.0025714289,0.035142857,0.0,0.0,0.0,0.0
2010-08-02,0.0,0.00071428567,0.028771429,0.0,0.0,0.0,0.0
2010-08-03,0.0023,0.048985714,0.00088571429,0.0,0.0,0.0,0.0
2010-08-04,0.057842857,0.0,0.033014286,0.0,0.0,0.0,0.0
2010-08-05,0.0,0.0,0.057142857,0.0,0.0,0.0,0.0
2010-08-06,0.0,5.7142837e-05,0.00052,0.0,0.0,0.0,0.0
2010-08-07,0.096328571,0.15657142,0.0001,0.0,0.0,0.0,0.0
2010-08-08,0.15485714,0.00014284841,0.0028571428,0.0,0.0,0.0,0.0
2010-08-09,0.00014285717,0.024428572,0.044285714,0.0,0.0,0.0,0.0
2010-08-10,0.28574286,1.6225714,0.0036857144,0.0,0.0,0.0,0.0
2010-08-11,1.56701,0.022857143,0.022428571,0.0,0.0,0.0,0.0
2010-08-16,0.00044,1.8483714,0.00061714285,0.0,0.0,0.0,0.0
2010-08-17,2.1879143,0.72942857,0.019228572,0.0,0.0,0.0,0.0
2010-08-18,0.020857142,0.019000001,1.8417143,0.0,1.8,1.2,0.0
